Wavelength_nm_,x_gamma__infty_N__SWG__14,x_gamma__infty_N__SWG__10,x_gamma__infty_N__SWG__6,x_gamma__infty_N__SWG__2,x_gamma_120_N__SWG__14,x_gamma_120_N__SWG__10,x_gamma_120_N__SWG__6,x_gamma_120_N__SWG__2,x_gamma_100_N__SWG__14,x_gamma_100_N__SWG__10,x_gamma_100_N__SWG__6,x_gamma_100_N__SWG__2,x_gamma_80_N__SWG__14,x_gamma_80_N__SWG__10,x_gamma_80_N__SWG__6,x_gamma_80_N__SWG__2,x_gamma_60_N__SWG__14,x_gamma_60_N__SWG__10,x_gamma_60_N__SWG__6,x_gamma_60_N__SWG__2
1.482,3.33285891876968,2.38061351340692,1.42836810804415,0.476122702681383,2.92897434197929,2.09212452998521,1.25527471799113,0.418424905997042,2.8853942227097,2.06099587336407,1.23659752401844,0.412199174672814,2.86100240222774,2.04357314444839,1.22614388666903,0.408714628889677,2.94646615077618,2.10461867912585,1.26277120747551,0.420923735825169
1.483,3.33310641091341,2.38079029350958,1.42847417610575,0.476158058701916,2.92922310796359,2.092302219974,1.2553813319844,0.418460443994799,2.8854565776435,2.0610404126025,1.2366242475615,0.4122080825205,2.86067002170498,2.04333572978927,1.22600143787356,0.408667145957855,2.94514458680055,2.10367470485754,1.26220482291452,0.420734940971508
1.484,3.33335563781342,2.38096831272387,1.42858098763432,0.476193662544775,2.92947233370815,2.09248023836296,1.25548814301778,0.418496047672593,2.88552095259812,2.06108639471294,1.23665183682777,0.412217278942588,2.86034229062024,2.04310163615731,1.22586098169439,0.408620327231463,2.9438297426736,2.10273553048115,1.26164131828869,0.420547106096229
1.485,3.33360659596517,2.38114756854655,1.42868854112793,0.47622951370931,2.92972201828414,2.09265858448867,1.2555951506932,0.418531716897735,2.88558734349268,2.06113381678049,1.23668029006829,0.412226763356097,2.86001919958071,2.04287085684336,1.22572251410602,0.408574171368672,2.94252160481989,2.10180114629992,1.26108068777995,0.420360229259984
1.486,3.33385928187353,2.38132805848109,1.42879683508865,0.476265611696218,2.92997216076528,2.09283725768949,1.25570235461369,0.418567451537897,2.88565574625734,2.0611826758981,1.23670960553886,0.412236535179621,2.85970073921886,2.04264338515633,1.2255860310938,0.408528677031266,2.94122015970051,2.10087154264322,1.26052292558593,0.420174308528644
1.487,3.33411369205276,2.38150978003768,1.42890586802261,0.476301956007537,2.93022276022773,2.09301625730552,1.25580975438331,0.418603251461105,2.88572615683319,2.06123296916657,1.23673978149994,0.412246593833313,2.85938690019239,2.04241921442314,1.22545152865388,0.408483842884627,2.93992539381297,2.0999467098664,1.25996802591984,0.419989341973281
1.488,3.33436982302653,2.38169273073324,1.42901563843994,0.476338546146647,2.93047381575018,2.0931955826787,1.25591734960722,0.418639116535739,2.8857985711722,2.06128469369443,1.23677081621666,0.412256938738885,2.85907767318408,2.04219833798863,1.22531900279318,0.408439667597725,2.93863729369108,2.09902663835077,1.25941598301046,0.419805327670154
1.489,3.33462767132781,2.38187690809129,1.42912614485478,0.476375381618259,2.93072532641375,2.09337523315268,1.25602513989161,0.418675046630536,2.88587298523724,2.06133784659803,1.23680270795882,0.412267569319606,2.85877304890174,2.04198074921553,1.22518844952932,0.408396149843106,2.93735584590481,2.09811131850344,1.25886679110206,0.419622263700688
1.49,3.3348872334989,2.38206230964207,1.42923738578524,0.476412461928415,2.93097729130206,2.0935552080729,1.25613312484374,0.418711041614579,2.88594939500203,2.06139242500145,1.23683545500087,0.412278485000291,2.85847301807815,2.04176644148439,1.22505986489063,0.408353288296878,2.93608103706022,2.0972007407573,1.25832044445438,0.41944014815146
1.491,3.33514850609138,2.38224893292241,1.42934935975345,0.476449786584482,2.93122970950118,2.09373550678656,1.25624130407193,0.418747101357311,2.88602779645109,2.06144842603649,1.23686905562189,0.412289685207298,2.85817757147094,2.04155540819353,1.22493324491612,0.408311081638706,2.93481285379925,2.09629489557089,1.25777693734253,0.419258979114178
